Title,Started broadcasting,Finished broadcasting,Episode count,Runtime,Total Runtime(days) 
Oyako Club,03-ott-1994,30-mar-2013,1818,5 minutes,631
Doraemon,02-apr-1979,18-mar-2005,1787,11 minutes,1365
Kirin no Monoshiri Yakata,01-gen-1975,31-dic-1979,1565,5 minutes,543
Kirin Ashita no Calendar,01-gen-1980,30-dic-1984,1498,5 minutes,520
Manga Nippon Mukashi Banashi,07-gen-1975,02-gen-1995,1494,20–26 minutes,2490
Hoka Hoka Kazoku,01-ott-1976,31-mar-1982,1428,5 minutes,496
Monoshiri Daigaku Ashita no Calendar,01-lug-1966,02-ago-1970,1274,5 minutes,442
Sekai Monoshiri Ryokō,01-ott-1971,31-dic-1974,1006,5 minutes,349
Kotowaza House,04-apr-1987,28-set-1994,773,5 minutes,268
Asadayo!Kaishain,04-apr-2016,29-mar-2019,744,1 minute,52
Shima Shima Tora no Shimajirō,13-dic-1993,31-mar-2008,726,20–26 minutes,1210
Ninja Hattori-kun,28-set-1981,25-dic-1987,696,10 minutes,604
Perman, 04-apr-1983,02-lug-1985,526,12 minutes ,365
Obake no Q-tarō,01-apr-1985,29-mar-1987,510,15 minutes,850
Naruto, 03-ott-2007,23-mar-2017,500,20–26 minutes,833
Morning Ninja team Gatchaman,18-apr-2011,29-mar-2013,475,1 minute,33
Cooking Idol I! My! Mine!,30-mar-2009,29-mar-2013,400,10 minutes,278
KochiKame: Tokyo Beat Cops,16-giu-1996,19-dic-2004,373,20–26 minutes,622
Bleach, 05-ott-2004,27-mar-2012,366,20–26 minutes,610
Kirin Monoshiri Daiquiri: Manga Bushiness,03-ago-1970,30-set-1971,366,5 minutes,127
Charady no Joke na Mainichi,01-apr-2009,30-mar-2010,365,3 minutes,76
Sgt. Frog,03-apr-2004,03-apr-2011,358,20–26 minutes,597
Kiteretsu Daihyakka,27-mar-1988,09-giu-1996,331,20–26 minutes,552
Atashin'chi,19-apr-2002,19-set-2009,330,20–26 minutes,550
Fairy Tail,12-ott-2009,29-set-2019,328,20–26 minutes,547
Instant History,01-mag-1961,24-feb-1962,312,3 minutes,65
Manga Hajimete Monogatari,06-mag-1978,31-mar-1984,305,20–26 minutes,508
Hyppo and Thomas,01-gen-1971,30-set-1972,300,3 minutes,63
Hamtaro,07-lug-2000,31-mar-2006,296,20–26 minutes,493
Ikkyū-san,15-ott-1975,28-giu-1982,296,20–26 minutes,493
Boruto: Naruto Next Generations,05-apr-2017,26-mar-2023,293,20–26 minutes,486
Dragon Ball,26-apr-1989,31-gen-1996,291,20–26 minutes,485
Dotanba no Manners,03-ott-1984,09-apr-1987,283,5 minutes,98
Pokémon,01-apr-1997,14-nov-2002,276,20–26 minutes,460
Gan to Gon,05-apr-1974,13-ago-1975,260,5 minutes,90
Hoshi no Ko Poron,01-apr-1974,21-mar-1975,260,5 minutes,90
Folktales from Japan,01-apr-2012,26-mar-2017,258,20–26 minutes,430
A Penguin's Troubles,05-apr-2008,30-mar-2013,253,10 minutes,176
Dr. Slump Arale-chan,08-apr-1981,19-feb-1986,243,20–26 minutes,405
Good Morning!!! DORONJO,30-mar-2015,25-mar-2016,243,1 minute,17
Itazura tenshi Chippo-chan,30-mar-1970,31-dic-1970,240,5 minutes,83