Title,Author,Publisher,Demographic,Numero di Volumi,Serialized,Approximate sales,Average sales per volume
Astro Boy,Osamu Tezuka,Kobunsha,Shōnen,23,1952–1968,100,4.35
Attack on Titan,Hajime Isayama,Kodansha,Shōnen,34,2009–2021,140,4.12
Bleach,Tite Kubo,Shueisha,Shōnen,74,2001–2016,130,1.75
Demon Slayer: Kimetsu no Yaiba,Koyoharu Gotouge,Shueisha,Shōnen,23,2016–2020,150,6.52
Doraemon,Fujiko F. Fujio,Shogakukan,Children,45,1969–1996,250,4.71
Dragon Ball,Akira Toriyama,Shueisha,Shōnen,42,1984–1995,260,6.19
Fist of the North Star,Buronson.Tetsuo Hara,Shueisha,Shōnen,27,1983–1988,100,3.70
KochiKame: Tokyo Beat Cops,Osamu Akimoto,Shueisha,Shōnen,201,1976–2016,157,0.78
Naruto,Masashi Kishimoto,Shueisha,Shōnen,72,1999–2014,250,3.47
Slam Dunk,Takehiko Inoue,Shueisha,Shōnen,31,1990–1996,170,5.48
Touch,Mitsuru Adachi,Shogakukan,Shōnen,26,1981–1986,100,3.85